,name,nb_reviews,location,rating,header,content,date,responded,response_date,response,company
10,Terry Paul,1,US,1,Just spent 2 hours of my life just…,Just spent 2 hours of my life just trying to get in contact with someone from booking.com,2021-04-14 19:21:17+00:00,0,,-,booking.com
11,Roberta,3,GB,1,No customer service…,Had a hotel booking in 2020 which was paid on booking. Due to covid this was changed to this year (2021). This has now been cancelled by the hotel who according to booking.com have gone out of business. Was told to expect refund within 21 days.  28 days later queried this and supplied proof of payment then nothing. Cannot speak to anyone!! And they are still allowing bookings with the same hotel!! Awful customer service.  After years of using them without issue will not use them again!,2021-04-14 15:45:28+00:00,0,,-,booking.com
12,Dean haithwaite,3,GB,1,THE COTTAGE . BELFORD,"Would not refund due to covid , and the owner of THE COTTAGE BELFORD ,would not refund  DO NOT BOOK",2021-04-14 05:42:49+00:00,0,,-,booking.com
13,Rotem,1,IL,2,Don't book Isrotel hotel rooms on booking.com,"I used to use booking.com for hotel reservations all the time but the last time was an awful experience.
I had to make a small change in my reservation which couldn't be done on the website. They referred me to the hotel (an Isrotel hotel) which put me on hold for 1 hour and then told me they couldn't do the change and that I should talk to booking.com. Tried booking.com again. Got a message that I can leave my message and they'll get back to me on the chat. They didn't. Then I tried talking to them again. They finally agreed to do the change but were not helpful other than that and the service level was very low.",2021-04-13 11:17:23+00:00,0,,-,booking.com
14,Robert Agnew,20,GB,1,DISGUSTING Covid Cancellations - means nothing to them !!,"Cannot get negative Stars or I would have rated it -5 ! We booked a hotel in Glasgow through booking.com to attend a Concert in SECC. Due to COVID - TWICE the concert has been re-scheduled, TWICE Booking.com refused to help, luckily TWICE the hotel have helped and re-scheduled the booking. NEVER, EVER, EVER will we use Booking.com or their partner websites again !! Disgusting !!",2021-04-13 08:24:19+00:00,0,,-,booking.com
15,Uf Hhf,2,TH,1,Laughably bad,Laughably bad. Will never use again.,2021-04-13 02:08:49+00:00,0,,-,booking.com
16,Cassy,1,US,1,put one star as that’s the lowest score…,"put one star as that’s the lowest score possible on this app. I will continue to write a poor review for Booking.com until I am fully reimbursed for my troubles. To start, I initially had a room reserved with The Linq Hotel in Las Vegas, Nevada from April 1- April 4 and then had to move the reservation up one day. Was told it was handled. When I arrived at my hotel the hotel informed me my reservation had been cancelled due to a no show (the original date before the change). Veronica from Booking.com couldn’t get the reservation figured out and promised me she’d send me an alternative itinerary in “one half hour. I have my tinder set” - Veronica, in fact, never contacted me again. So there I was a single female, traveling alone with luggage in hand waiting my entire first evening for an itinerary. Mind you it was my sister’s wedding rehearsal dinner that I missed during this. Booking.com has offered to pay the difference of the hotel I booked (at 1 am when I was supposed to be in by 7 pm the previous day) but is giving me the run around with the verification process. I’ll never ever use booking.com again and will continue to post this story until it’s made right.",2021-04-13 00:30:25+00:00,0,,-,booking.com
17,Travis Halvorson,2,US,1,Paid nearly a grand for 2 day stay,"Paid nearly a grand for 2 day stay. I reserved it months in advance, and 2 days before we were to arrive the renter cancelled on us. No help from Booking, and have yet to see a refund. Be careful, the site has a lot of scams.",2021-04-12 23:40:00+00:00,0,,-,booking.com
18,ShE cAlLs Me PiNkY Davis,1,US,1,I will never book on booking.com ever…,I will never book on booking.com ever again booked early get to the mansion people living  in the house and mind you we are 10 people with 2 rooms I’m like wow we booked out the whole mansion house is extremely dirty the lady who have the property didn’t even know we was coming never again plz be carful who you book with cause these photos can sale you a dream...Had trouble getting our Money back don’t get the mansion in New Orleans watch out on Airbnb Expedia it’s the jazzy mansion you gonna thank me later,2021-04-12 18:56:32+00:00,0,,-,booking.com
19,Daniel  Mardasy,5,NL,1,Booked a room through their website,"Booked a room through their website. When we went there, we realised that the owner provided us with a wrong code and therefore we couldn't enter the room. We've called booking.com but it took us almost one hour to get to talk to the customer service. Eventually, at 3:00 in the morning, they said that we have to book another place and they will pay the extra costs. When we came back from the holidays, they denied paying all the extra costs and said that it's not their fault if the owner gave us a wrong code. An awful experience and an unexpected service from them...",2021-04-11 16:48:28+00:00,0,,-,booking.com
20,Wilson Varian,2,FR,1,my friend eventually made our bookings…,"my friend eventually made our bookings through Booking.com. Several weeks later, the hotel cancelled on us. This is the third time that has happened to me and I'm sick of it. It appears that people are now booking multiple rooms and cancelling some, and in response, hotels are now over-booking and cancelling guests. We did manage to re-book elsewhere, but not in the place we really wanted to be. and i dont know how these booking sites gurantee the customers when they say we can do nothing about it!",2021-04-11 14:53:06+00:00,0,,-,booking.com
21,Michelle Flagge Riley,3,US,1,You don't have a star low enough for my…,You don't have a star low enough for my review. We not once but twice received a horrible hotel from booking .com. Both times neither hotel matched the picture or description. We pulled into the hotel yesterday and it was not in downtown st louis as described. It was in a deserted area. Looked like a dump and smelled like marijuana. When I called booking.com and stated I we felt unsafe and the place was a dump and we were stranded in a strange city. I was hung up on. I called back and was informed they would do nothing except send links for different hotels. Booking.com. has junkie hotels. I would never use them again and i will tell anyone who listens to never use them. If they had made it right given me some discount or done something but they didn't. I was told well there's nothing we can do. Shame on you booking.com for the garbage quality of hotels. We had this happen once before with booking.com but thought it could happen once so we gave them another chance. But nope same thing happened twice. Never again.,2021-04-11 14:41:19+00:00,0,,-,booking.com
22,szalala ofgmn,1,PT,1,"""free of charge""","say they canceld a booking free of charge, still charge you and not a single chance to contact them. never again",2021-04-11 11:20:15+00:00,0,,-,booking.com
23,marilyn pierce,1,GB,1,We were due to fly out to Tenerife 21/12 on the 17/12 the booked was not available and we we were being placed in a site unknown to us. Due to vivid could not fly you don't get a refund,We were due to fly out to Tenerife 21/12,2021-04-11 11:12:22+00:00,0,,-,booking.com
24,Therese Henderson,1,CA,1,I booked a hotel stay at the Royal…,I booked a hotel stay at the Royal Lahaina resort in Maui for a week from Dec 29 until Jan 5. It said there was no deposit and no cancellation fee. Imagine my surprise when I was charged the entire week on my credit card! I cancelled and received a refund but it cost me $87 because of the dollar exchange. I will never use booking.com again. Reconsidering Maui too!,2021-04-11 01:01:59+00:00,0,,-,booking.com
25,Alan Langhorn,2,GB,1,Unhelpful customer service,"I booked a stay through Booking.com last year and paid a deposit, then due to covid had to re-arrange the dates with the holiday company to 2021. Now it is getting near time to go booking.com have not credited the new reservation with my deposit despite me informing them and also the holiday company confirming the deposit has been paid. This is leading to angst as to whether we will be over charged. Several phone calls have been met with absolutely no help by Booking.com over what appears a really simple matter.",2021-04-10 11:15:24+00:00,0,,-,booking.com
26,Jasmin Bhangu,1,GB,1,One year on I am still awaiting a…,One year on I am still awaiting a refund! Always get the same excuses that it is being looking into with no avail! This is appalling service. I would have expected better. I have received refunds from other travel companies where it was dealt with in a much more professional manner. I would advise to use another service and keep clear of booking.com!,2021-04-10 08:19:29+00:00,0,,-,booking.com
27,Clark Newton,1,AU,2,Have stayed at many establishments thru…,"Have stayed at many establishments thru this company,most good,2 bad experiences with arriving to a locked office after receiving agreed confirmation of my arrival time. Have had no reply to complaints,won't be a third,will take business elsewhere.",2021-04-10 06:39:17+00:00,0,,-,booking.com
28,Isabela Ybanez,1,US,1,LEFT STRANDED!,"I usually used booking.com for my stays, but this time I was just left in shock! I planned my Las Vegas trip two months ago, and arrived at my destination only to find out that booking.com cancelled my stay!! I called obviously upset, and the customer agent couldn’t be bothered to help. She kept stating “we sent you an email. We sent you an email on February....” Not only did she have a disinterested and no apologetic attitude, she also did not offer to help the situation of me and my family being essentially stranded with no where to stay. Will not be booking through their side AGAIN.",2021-04-10 05:28:47+00:00,0,,-,booking.com
29,Mr Richard Chamberlain,27,GB,1,Not recommended,"Not recommended.  Customer service does not exist with this company.  Having used Booking.com a lot in the past and always finding them good my opinion has changed over the past month having had a bad experience with them. They are rude to you very un helpful state things like ""why should we help you with a booking we are just a platform see our terms and conditions""  
I asked them to help with a booking made last year, and now not being able to take place due to covid restrictions... they did not want to know and said it was my fault for booking during a pandemic!  The chat transcript is comical and at times rude and patronising.  I will avoid in the future.",2021-04-09 18:26:13+00:00,0,,-,booking.com
30,Patricia O'Neill,1,US,1,FRAUD,FRAUD.  LIKE 40 OTHER PHOTOGRAPHED REVIEWS BOOKINGS.COM IS A SCAM WHO OFF THE BOOKS FRAUDULENTLY MAKE DEALS WITH LOW END HOTELS WITH 76 YEAR OLD FURNITURE & MENTALLY ILL STAFF SUCH AS HILTON G INN FISHKILL/ ON RECORDING<  THEY HIDE YOUR BOOKING WITH HOTEL AS IF YOU WERE NEVER REALLY THERE<  YOU PEOPLE ARE OFFICIALLY UNDER INVESTIGATION AS WELL.  STAY AWAY FROM BOOKINGS.COM / SCAM ARTISTS!..,2021-04-09 04:51:23+00:00,0,,-,booking.com
31,Scott Reid,1,GB,1,Appalling service,Rented an apartment through booking.com and it was appalling when I complained they made me out to be a liar 😡😡😡,2021-04-08 22:25:48+00:00,0,,-,booking.com
32,Sebastian Adamczuk,7,PL,1,Shiitt company,Shiitt company. Anything goes wrong and they leave you stranded. Booked accomodation via this service and then with no reason it has been cancelled. Actually the reason was false but I has been left with no service.,2021-04-08 17:17:57+00:00,0,,-,booking.com
33,marco p,1,ZA,1,I booked a guest house in South Africa…,"I booked a guest house in South Africa through booking.com in December 2020. When myself and my team arrived, it was not what we had booked, we were a team of 6 adult men on a company conference trip, therefore we booked three rooms of 100sqm (supposed to be huge) with two double beds inside each room. When we arrived late at night, they had given us 3 x rooms of around 15sqm each with one double bed in each room and had no more rooms to assist us. As it was late at night we had no option but to take the rooms and have some adults share a bed and other adults sleep on the floor (that were not comfortable with sharing a small bed, or against their culture). The next day we left the guest house, as they could not give us the rooms that we had originally booked due to being at full capacity and over booking their rooms. Therefore we contacted booking.com, and booking.com told us they would refund us, as their policy is either an equivalent room or better (which we did not get). Since then booking.com has used every excuse not to refund us, with their latest argument being that the amount we payed was a value in Rands but our bank statement (yes we had to send our bank statement proving we paid the guest house) shows a value in Meticais. seeing as we from Mozambique our local currency is meticais and when our bank charges us it is in meticais. But this is very common as wherever one travels in the world they can pay on a card machine any currency, and then the clients bank will convert that currency into their local currency on the spot rate plus whatever the bank charges. Booking.com has told me I am the first person this has happened to?? They even asked us to get a stamped letter from our bank, for our bank to state what amount entered the bank in ZAR (South African currency), and what exchange rate they used to translate to the value showing on my bank statement in Meticais. After much talk with our bank we managed to get this, now booking.com has told us they unfortunately cannot assist, as our bank should of charged us in Rands (ZAR), and our bank statement should show the Rands amount, which is impossible. Therefore we had to just accept the 7,480.00 ZAR the guest house and booking.com basically stole from us. 
I told booking.com they should have a disclaimer stating they don't recognize certain currencies from certain countries, and their hosts should not accept cards from certain foreign countries then. Booking.com just said whenever we get quoted a currency, we must just pay that currency, therefore if you are traveling, make sure you don't arrive at a foreign hotel without drawing the local currency first, as booking.com won't recognize your payment otherwise.",2021-04-08 14:25:36+00:00,0,,-,booking.com
34,P Taylor,2,GB,1,Terrible customer service,"Terrible customer service

I had a cancellation in September 2020, so I contacted bookings.com to wave the comission. Booking.com agree to wave the commission from the booking as it was now cancelled, three months later they got in contact to assure me that the commission charge would be waved- it was not waved. Spoke to Numerous customer service members, they all apologised for the mistake and promised they will sort out the issue but not, since then I have been left messages back and forth with their customer service/Credit Control team at Extranet and all their replies have been the same, saying that they will get back to me in 2days and then after two days saying they will get back to me in another 2days repeatedly.....prolonging the issue and not getting anything resolved- this is very frustrating. They have acknowledged their mistake on numerous times to me yet have done absolutely nothing to resolve it.",2021-04-08 10:31:54+00:00,0,,-,booking.com
35,Ivan Han,1,NZ,1,One of the nasty company,"One of the nasty company, said guarantee  lowest price, promised will match the other listed agent, after we booked with them, they said they cant do it, Keep find excuses saying the “terms and condition” as different , totally bullshXt. The representative even cut the line off Very very rude, I will not use them again EVER, always compare to other site, before book with them",2021-04-08 10:17:42+00:00,0,,-,booking.com
36,Dani,1,ZA,1,Non existing Customer services,"Beit Shalom Guesthouse

I have made numerous complaints to customer service explaining what happened with the above booking.​

Customer service advised me that according to the owner, the room was available but I declined the room, which was not true, and I have explained exactly what happened.​ ​ I have send the communication between the Guest House and myself proofing that the room was indeed no longer available, which I wasn't informed about before arrival.

I made several complaints about the misconduct at the other Guesthouse (Golf view Guesthouse) which she offered, I have also send pictures to customer services showing the state of the accomodation and all the other misconduct which happened there.

Also complained and informed customer service regarding the owner of Beit Shalom Guesthouse threatening me.

Nothing has been done by Customer service at Booking.com, I have send numerous messages from the day we left, on Booking.com website it states that misconduct, illegal activity and unhygienic accommodation should be reported by the guest, also if Covert-19 regulations aren't being followed or in place, which I have done, but absolutely no attempt from Customer services to assist, you advertise guests safety but if misconduct is reported, nothing are being done.

I also complained to Booking.com about the fact that they advertised a room, which I booked and paid for, received booking confirmation, this was done before 11 on Saturday morning, 27th March, and we arrived at the Guesthouse at 4, when I was informed that the room wasn't available, and actually been occupied since the previous day, which yet again proof the incompetence of Customer service, since I should have been informed before arrival at the Guesthouse, which would have allowed me enough time to book alternative accommodation.  Overall unacceptable, Booking.com didn't even post my review, even though they asked me to write one, to ""help"" other guests when they make a booking",2021-04-08 07:12:05+00:00,0,,-,booking.com
37,Rakesh Mukhija,4,CH,1,Rip-Off and untrustworthy platform,"Booking.com canceled my booking in St. Moritz at the last minute. No compensation, no regrets on their side. All my vacation plans down the drain. Never ever use this rip-off platform. They are completely useless and arrogant.",2021-04-07 20:17:07+00:00,0,,-,booking.com
38,Andrea Z,5,GB,1,Awful customer service,"Awful customer service! Non existent help at all. The property we stayed at looked nothing like what was advertised. It had no locks on the windows, no curtains and no bedsheets! It was noisy, dirty and stains on the walls! Horrible.
The property took a €100 deposit, which we have still not got back after a week of being checked out. 
Booking.com took no responsibility, and they made no effort at all to help us with a resolution.
I will never book with them again",2021-04-07 15:31:28+00:00,0,,-,booking.com
39,Liga Germele,1,FR,1,Terrible experience,"Terrible experience 
I used booking to list my property, someone made a reservation for 2, a party of 12 came, stole things, and demolished my property. No support from booking, they didn't even bother to get back to me. I have reported 2 guest misconducts in Extranet and gotten 0 response in 1,5 month time !!!! They claim “we are here for you”, what a bs. There is no working phone number to contact them. All they care about is getting their commissions.",2021-04-07 15:20:41+00:00,0,,-,booking.com
40,AzzahI,2,US,1,Never using booking.com again,"Never using booking.com again.  Eventhough they have good customer service, they are completely useless.  Booking.com is just a third party service that distance themselves from all problems.  Their system allows for anyone to put any rules and guidelines in the fine print and get away with things.     
In my case, when I was trying to book with Central Park 30 day Stay Apartments (which had high reviews in their system) I wasn't aware I will be fully charged for making reservations (all in the fine prints) and when I cancelled it right away, it took 30 days to get my refund (fine print again) which required me to pay interest in my credit card.  Also the owner had shady things like don't ever talk to the front desk!!  Don't speak to the neighbors!!  I wasn't sure if I was renting a room or doing a drug deal.  
The worst part is Booking.com don't allow you to write a review in their system unless you have stayed at the property.  So my bad experience and I am sure the experience of others like me can never be shared.",2021-04-07 14:54:09+00:00,0,,-,booking.com
41,Jennifer,3,US,1,Worst Service for Hotel Booking,"If I could give negative stars, I would. I booked a room through priceline.com which apparently was handled by booking.com. My original reservation was for 4 nights. On the 4th night, I contacted customer service to extend my stay at the direction of the hotel because they cannot modify 3rd party reservations. Stella J handled extending the reservation and contacted J, the desk attendant to confirm the dates. Two days later, while I was planning my father's cremation and memorial service, I got a call from my daughter who was being kicked out of the hotel. Two hours later, after she'd been kicked out, I spoke with Alessandra at Booking.com who passed the blame onto the hotel and who told me that despite Stella having told me my card would be charged, that was not the case and I needed to drive the half hour back to the hotel and provide a credit card and they had agreed they would extend the reservation. Bottom line, don't use booking.com or priceline.com or you may be trying to find a new room in the middle of a family crisis and they won't care one bit.",2021-04-06 17:51:49+00:00,0,,-,booking.com
42,Sunshine,1,MX,1,selling a hotel that is close and having to deal with horrible customer service,"Booking.com are selling hotel on their platform that are CLOSE. Fair enough, they said that they didn't know?! I then had to contact myself the owner (lucky me, he answered) He informed me that booking.com are aware of it. I asked him to call them, so then I could have my refund. After running around with my suitcase trying to find an other place, I've had to deal for days with a horrible customer service. Instead of offering compensation they were asking me where I was living now?? How much I am paying?? requesting a receipt at the moment of my check out?? for all I care, it's not their business, since I could have decided to sleep on the beach as a result of no fund for a second hotel room charge! I understand they wanted to verify if it was true, I sent them a receipt with the name of the second hotel I booked. But it was not sufficient for them??  as if it was not enough... they finally send me a refund,only after I ask the owner of the close hotel to call them (which was not my job to do, they should have been the one doing that investigation)and guess what with 13$ missing... not a big deal, but I definetly want all my penny back. I am dealing with my bank right now as booking. com costumer service are useless. I will never book with them again!!!!",2021-04-06 16:07:28+00:00,0,,-,booking.com
43,David Norton,1,GB,1,DO NOT USE THIS COMPANY.,"DO NOT USE THIS DISPICABLE COMPANY.

I booked a holiday to attend a wedding for my family (6 adults and 4 children).  When the confirmation came it said 9 adults. I queried this to be told it was what I had asked for. When I pointed out my room requests for rooms for children with their ages they said I must have sent this after. (Which was untrue). I had requested to pay on arrival but I noticed the minute I complained they took over €230 from my card as a non returnable deposit, I did not agree to this. To resolve what is there mess I will either have to loose the deposit or pay for another person.During my 2 1/2 hour telephone calls i asked on several occasions to speak to a manager but was refused. In the end I asked for a managers email address and was also refused this. Rude inefficient and liars, I would rather stay at home than use this company again.",2021-04-06 14:23:38+00:00,0,,-,booking.com
44,sophie knox,2,GB,1,I had used the pay on arrival checkout…,"I had used the pay on arrival checkout (ENSURED IT WAS THIS, AS MY BOOKING ALREADY GOT CANCELLED DUE TO GOVERMENT RESTRICTIONS SO TO ENSURE I WAS PAYING WHEN ARRIVING WAS VITIAL SO I WASNT AWAITING REFUNDS AGAIN) Then 2 months later payment has tried to be took and wont be took as I had requested for this to be took on arrival, and the date was still not set in stone due to government restrictions. Trying to get in contact with booking.com is terrible no online chat advisor or phone number till going through all FQAs which was just a bloody waste of time. This is my second time using booking.com and be the last the stress that comes from this is unneeded. Would not use this service.",2021-04-06 13:03:04+00:00,0,,-,booking.com
45,Mrs Susan Rautenberg,12,GB,1,Unscrupulous car rental - stole £60,"I'm in the UK and booked a car rental online with this company for May 2021 in USA. Due to pandemic conditions in USA I am cancelling in April. Though the website says ""FREE CANCELLATION, book now, pay later"" booking.com took £60 for me Making A Booking and will not refund it. When I protest this is a practice I have never experienced before in decades of travel - I was told to read the small print.  Unfortunately I read the Big Marketing Print  - FREE CANCELLATION. This is clearly deceptive marketing. Beware: do not use them.  Las Vegas is a city with 10,000s of rental cars. Why would I have made any booking that did not offer full cancellation?   booking.com marketing of FREE CANCELLATION in fact only applies in the case where you, the consumer, make FULL rental payment months before!  I have never experienced such a thing.  Unscrupulous. Will never use this company again for travel. Like so many reviews of them on here, the bad reviews outweigh the good. Beware!",2021-04-06 10:24:30+00:00,0,,-,booking.com
46,iT Sharif,3,BD,5,This is amazing site,This is amazing site. I have used there service and working properly. No problem i have faced to booking hotel.,2021-04-06 06:19:55+00:00,0,,-,booking.com
47,Satnam Sandhu,5,GB,1,I booked a holiday via Booking.com then…,"I booked a holiday via Booking.com then lockdown blocked me from travelling.  I booked Aquazul apartments, in Praia Da Rocha in Portugal, they still charged me.  Booking.com said they asked them to allow the cancellation but were told no I was going to be charged even though there was no physical way for me to travel.  Just be very careful with Covid restriction do not book until it is 100 % all over.  They are not reasonable when it comes to cancelling.",2021-04-05 18:20:56+00:00,0,,-,booking.com
48,Montserrat Morales,1,MX,5,Great customer service,"Great customer service, i love the platform",2021-04-05 17:43:23+00:00,0,,-,booking.com
49,Jaden T,5,US,1,Don't ever book through booking.com for…,Don't ever book through booking.com for this hotel or any other you will be nightmare if you try to cancel or change your reservation. Neither booking.com nor the hotel will answer emails or phone calls no matter how many times and who you contact and you end up just frustrated and your money is tied up. Very very disappointed will never use it again. and unfortunately Red Lion was just as rude they told me if you put that online too bad there's nothing they can do about it. Then why use a online booking service if you can't keep your customers happy. I was quoted 288 by booking.com they said no charge would be made and it was free cancellation I tried to cancel within an hour (after falling down stairs and taken to er) and first was told there was a 134 charge and then there was no cancellation...but the hotel immediately charged me $333. What booking.com set up was my arrival between 2:30 and 3:00 p.m. and I actually wrote eight to 9:00 p.m. and my reservation wasn't made till 5:00 p.m. . When they do this it already books you into the hotel and you can't cancel so it's kind of a scam. Be warned and the hotel will do nothing it's out of their hands they claim. So from what I understand is booking.com overrides the hotel's ability to revise or change or cancel a reservation. Why would they use a booking service that (as I already stated) will make their customers,2021-04-05 07:43:24+00:00,0,,-,booking.com
50,Edward Driscoll,30,GB,1,If I could give less stars I would .,"If I could give less stars I would .
Booking .com confirmed a booking ,only on arrival to find the hotel closed !!!
Spent the night in the car.",2021-04-05 01:20:17+00:00,0,,-,booking.com
51,Teila,1,US,1,Never again.,"I booked a room through booking.com. When I arrived at that hotel yesterday I was told that booking.com never referred me to the hotel, that the room was never actually reserved, and that there was no record of me at all in the hotel's system. I was unable to get a room there, as they did not have the type of room that I needed available. I ended up having to find another hotel further away that was also more expensive. Since booking.com charges no fees and the first hotel was supposed to be pay at check in, I figured that that would be the end of it. But when I awoke this morning there was a charge to my card from the first hotel, that I was unable to stay in. I called them to have it reversed, but the charge did not come from them, as they still have no record of me at all in their system. I gave them no credit card information yesterday when I tried to check in. The only credit card info I gave out, was to booking.com. So I would now like to know what is going on and where my money is please. 

This is the email that I sent to booking.com. It details my experience with them. I have recieved absolutely no response. The number listed on the site for customer service sent me to a direct TV hot line.",2021-04-04 18:53:49+00:00,0,,-,booking.com
52,Rogerdoger,2,US,1,Very Suspicious,"The reason I’m on the Trustpilot site is because of suspicions trying to book airline tickets on Bookings.com. Apparently, they only represent a limited number of airlines, unlike Expedia or Travelocity. (For example,  inexplicable that for travel from San Francisco to London, they do not include British Airways.) For the customer, this means a very limited  selection of the real options, and definitely NOT price competitive based on my experience with Travelocity. Don’t think you’re going to get any deals on Booking.com.",2021-04-03 21:54:26+00:00,0,,-,booking.com
53,Claudine,1,US,1,I booked a a stay for the Renaissance…,I booked a a stay for the Renaissance baltimore over a month in advance. I  realized  a couple of days later that I would not be able to make it due to Covid restrictions on my travels. I requested a date change on booking.com and was also directed to contact the Renaissance Baltimore. Two weeks later no response. I called the Renaissance 410 547 1200. The Renaissance customer line provided by booking.com. They said unfortunately you booked with a 3rd party we cannot help you. I was dismissed by Renaissance Baltimore. In email booking.com sent me a message saying unfortunately the property has not responded you may call this number 234 567 8910. I got the “mail box full and cannot take any messages” Several attempts no one has ever picked up. I went ahead and cancel the booking due to Covid restrictions. Per booking.com I will be charged cancellation. Do not use this company. They do not provide customer service. Book directly with the hotels. There really isn’t much of a difference in price if any at all.I will never use booking.com again!,2021-04-03 13:45:32+00:00,0,,-,booking.com
54,Johnathan Buller,4,GB,1,Dreadful again,"Dreadful again, I'm not one to complain and I can imagine booking.com has been in difficult times due to the travel ban but I booked a hotel in Russia and 6 months later they told me the price was incorrect and I had to pay triple the initial booking price, booking .com customer service haggled and managed to get it only at double what I paid. Ridiculous!!! Now I've made a booking to stop over in Manchester for the night in June the hotel company have just sent me a WhatsApp message telling me the prices are incorrect I've paid £166 they want £350 it's a joke they told me it's not my fault they are having issues with their booking agent I've apparently paid for 2 adults for a week , rather than 4 adults one night.",2021-04-03 09:48:41+00:00,0,,-,booking.com
